Rango_accesibilidad,propiedades,precio_m2_prom,precio_m2_mediana,precio_prom
Baja,1821,2368.9780119546053,2222.222222222222,173865.00054914883
Media-baja,1808,2384.310760008062,2260.8695652173915,171165.90542035399
Media-alta,1805,2323.4488580246407,2186.991869918699,160011.08808864266
Alta,1811,2091.888897795875,1962.962962962963,150917.85477636664
